,A,B,K,d,r,s,D,j,j_deg,gmm
23,-978016/3*theta_K + 3298144/3,204239056/3*theta_K - 6198763984/27,x^2 - x - 8,2,2,0,33,x^2 + 37616060956672*x - 56171326053810176,2,True
24,-2048*theta_K - 15616/3,200704/3*theta_K + 4590592/27,x^2 - x - 9,2,2,0,37,4096,1,True
25,-432128*theta_K - 3294976/3,-809037824/3*theta_K - 18504676352/27,x^2 - x - 9,2,2,0,37,38477541376,1,True
26,-272/3,-8192/27*theta_K - 13184/27,x^2 - x - 10,2,2,0,41,x^2 - 314432*x - 24137569,2,True
27,-17/3,128/27*theta_K - 334/27,x^2 - x - 10,2,2,0,41,x^2 - 314432*x - 24137569,2,True
28,-25*theta_K - 227/3,-3530/27*theta_K - 9530/27,x^2 - x - 10,2,2,0,41,x^2 - 264706*x + 454756609,2,True
29,-322745*theta_K - 2615747/3,130438870/27*theta_K + 352388710/27,x^2 - x - 10,2,2,0,41,x^2 - 264706*x + 454756609,2,True
30,1290455*theta_K + 10458733/3,1043312902/27*theta_K + 2818574614/27,x^2 - x - 10,2,2,0,41,x^2 - 68765615552*x + 118740008189951,2,True
31,-27735*theta_K - 224782/3,-4498674*theta_K - 328143076/27,x^2 - x - 10,2,2,0,41,x^2 - 68765615552*x + 118740008189951,2,True
32,20*theta_K - 75,-116*theta_K + 434,x^2 - 14,2,2,0,56,-3375,1,True
33,17980*theta_K - 67275,3121444*theta_K - 11679374,x^2 - 14,2,2,0,56,-3375,1,True
34,1360*theta_K - 5100,52896*theta_K - 197904,x^2 - 14,2,2,0,56,16581375,1,True
35,-1360*theta_K - 5100,-52896*theta_K - 197904,x^2 - 14,2,2,0,56,16581375,1,True
36,16293316534941298168913151744*theta_K + 57509564126854052761641115344,-3560411565448204767429403307508920403710976*theta_K - 12572229099990533271408213892651841350829184,x^2 - x - 16,2,2,0,65,x^2 - 14432*x + 6967871,2,True
37,-3800051976435066550450817712*theta_K + 15454600145904293454242695680,370305102640634842365229908234565795538304*theta_K - 1651212367148473090807003592737259863001088,x^2 - x - 16,2,2,0,65,x^2 - 14432*x + 6967871,2,False
38,44006782198674202185765177936*theta_K - 199256795447568913501394056704,-9437177566315074335106834418256046532847232*theta_K + 42760029907367945826047627319673060114593792,x^2 - x - 16,2,2,0,65,x^2 - 14432*x + 6967871,2,False
39,-200095511836605918216064512768*theta_K - 706561066285857242303144358960,91553665639141125746167597896569848214971392*theta_K + 323287790601039884787304932382451203479732096,x^2 - x - 16,2,2,0,65,x^2 - 14432*x + 6967871,2,True
40,36902843031077492752868130000*theta_K - 168698710999211395441682880000,6282656641857434469571381053593001294000000*theta_K - 28485300371512864480304903324955621792000000,x^2 - x - 16,2,2,0,65,4913,1,False
41,-168698710999211395441682880000*theta_K - 595717323215965240153442670000,-60972667737370511573545206290607487968000000*theta_K - 215302376206791191084866554934956412026000000,x^2 - x - 16,2,2,0,65,4913,1,True
42,-5611157547116209365107031113251676375940546255199680000*theta_K - 19814400088254114320534203618669982202540053963673870000,-14525891708001735238492855442343658783622137537860420882973879660515699412704000000*theta_K - 51292802452507092602525567974858773885314367420731548933532041764557487815178000000,x^2 - x - 16,2,2,0,65,16974593,1,True
43,1227440713431670798617163056023804207236994493324930000*theta_K - 5611157547116209365107031113251676375940546255199680000,1496755733425854475587946253349599976015118901705212286928051789343678486782000000*theta_K - 6786227400263358933813264511674064528255902092977262265790885864565249532576000000,x^2 - x - 16,2,2,0,65,16974593,1,False
44,24944/3*theta_K - 131584/3,30703232/27*theta_K - 144177152/27,x^2 - x - 16,2,2,0,65,x^2 - 288111549478352*x - 986052352809996289,2,False
45,-563753/3*theta_K - 1990688/3,-2948803270/27*theta_K - 3470868128/9,x^2 - x - 16,2,2,0,65,x^2 - 288111549478352*x - 986052352809996289,2,False
46,-7744/3*theta_K - 27361/3,-4749248/27*theta_K - 16770334/27,x^2 - x - 16,2,2,0,65,x^2 - 288111549478352*x - 986052352809996289,2,True
47,123904/3*theta_K - 561680/3,303951872/27*theta_K - 459084416/9,x^2 - x - 16,2,2,0,65,x^2 - 288111549478352*x - 986052352809996289,2,True
48,-400*theta_K - 1555,-11216*theta_K - 43602,x^2 - x - 19,2,2,0,77,-3375,1,True
49,-5*theta_K - 20,16*theta_K + 62,x^2 - x - 19,2,2,0,77,-3375,1,True
50,-108800*theta_K - 422960,-40915968*theta_K - 159060096,x^2 - x - 19,2,2,0,77,16581375,1,True
51,-1360*theta_K - 5440,58368*theta_K + 226176,x^2 - x - 19,2,2,0,77,16581375,1,True
52,-4480*theta_K - 63040/3,939008/3*theta_K + 39639040/27,x^2 - 22,2,2,0,88,8000,1,True
53,4480*theta_K - 63040/3,-939008/3*theta_K + 39639040/27,x^2 - 22,2,2,0,88,8000,1,True
54,-2021515591680*theta_K + 10309729517568,18016523215039365120*theta_K - 91866776626589073408,x^2 - 26,2,2,0,104,64,1,True
55,-8086062366720*theta_K + 41238918070272,144132185720314920960*theta_K - 734934213012712587264,x^2 - 26,2,2,0,104,64,1,False
56,4336012521501796274812018806488120162795945630949991558790074859520*theta_K - 22113663859659161001541295913089412830259322717844956949829381783552,11099527101473944090441462367135724747174999569543084328013335260799593713831642936546529243163525120*theta_K - 56596811977612771226212194516695947934138929843922600864782559990018899208780377381303273383587217408,x^2 - 26,2,2,0,104,-23788477376,1,True
57,17344050086007185099248075225952480651183782523799966235160299438080*theta_K - 88454655438636644006165183652357651321037290871379827799317527134208,88796216811791552723531698937085797977399996556344674624106682086396749710653143492372233945308200960*theta_K - 452774495820902169809697556133567583473111438751380806918260479920151193670243019050426187068697739264,x^2 - 26,2,2,0,104,-23788477376,1,False
58,-14160*theta_K - 200512/3,-2458624*theta_K - 313337216/27,x^2 - x - 27,2,2,0,109,x^2 + 3071*x - 6967871,2,True
59,16335360*theta_K + 231316208/3,30516197376*theta_K + 3889110465664/27,x^2 - x - 27,2,2,0,109,x^2 + 3071*x - 6967871,2,True
60,-8583994669006848*theta_K - 139702154997792768,1435692030156874948018176*theta_K + 14685351768723545932169216,x^2 - x + 28,2,0,1,-111,4096,1,False
61,4250114986887610368*theta_K + 29364430818496217088,8007618118158379284537802752*theta_K - 60224683451430696725845639168,x^2 - x + 28,2,0,1,-111,4096,1,False
62,245609501107613998207810992715047302658735083464217510344944053649408*theta_K + 1696938371288969442163057767849417727460351485752775526019613461577728,-4626570593104003015474483504978409344245118727203129999756148036955963209490002588779775829538108342272*theta_K + 34796083594888980832111122695450893942576563933885589550835560705071400069064781374776611289397721038848,x^2 - x + 28,2,0,1,-111,38477541376,1,False
63,-496059672425267974008140987594755516289614981250971978013803020288*theta_K - 8073234888591449115451173655250911204669448211348236257565299703808,-829501410964539114865496539054814297407228775705517234758525687167855342277641760531041961625255936*theta_K - 8484772330550391945218252201284608582434980385705868025218297763732456899958902292845858922877157376,x^2 - x + 28,2,0,1,-111,38477541376,1,False
64,-229847040*theta_K - 1210439168,-4559246766080*theta_K - 24010275974144,x^2 - x - 33,2,2,0,133,-884736,1,True
65,-7680*theta_K - 40448,880640*theta_K + 4637696,x^2 - x - 33,2,2,0,133,-884736,1,True
66,640*theta_K - 11840/3,-523264/27*theta_K + 358400/3,x^2 - 38,2,2,0,152,8000,1,True
67,-640*theta_K - 11840/3,523264/27*theta_K + 358400/3,x^2 - 38,2,2,0,152,8000,1,True
68,-251056*theta_K - 4342000/3,-687234560/3*theta_K - 35657054080/27,x^2 - x - 39,2,2,0,157,-2197,1,True
69,-148480*theta_K - 867760,-96456704*theta_K - 563720832,x^2 - x - 40,2,2,0,161,-3375,1,True
70,148480*theta_K - 1016240,96456704*theta_K - 660177536,x^2 - x - 40,2,2,0,161,-3375,1,True
71,157760*theta_K - 1079755,85906752*theta_K - 587970618,x^2 - x - 40,2,2,0,161,16581375,1,True
72,-157760*theta_K - 921995,-85906752*theta_K - 502063866,x^2 - x - 40,2,2,0,161,16581375,1,True
73,-716800*theta_K - 12736000/3,2576896000/3*theta_K + 137357696000/27,x^2 - x - 41,2,2,0,165,-32768,1,False
74,-28672*theta_K - 509440/3,20615168/3*theta_K + 1098861568/27,x^2 - x - 41,2,2,0,165,-32768,1,True
75,-512/3*theta_K - 1024,-28672/9*theta_K - 508928/27,x^2 - x - 41,2,2,0,165,-32768,1,True
76,-12800/3*theta_K - 25600,-3584000/9*theta_K - 63616000/27,x^2 - x - 41,2,2,0,165,-32768,1,False
77,-3297280*theta_K - 22185472,8770859008*theta_K + 59013989376,x^2 - x - 52,2,2,0,209,-884736,1,True
78,-28580765017763840*theta_K - 192303280850580992,-7078140208093994446942208*theta_K - 47624672869704226995137536,x^2 - x - 52,2,2,0,209,-884736,1,True
79,-118863826918176638109491375683314361077192960987120*theta_K - 1256802158430382135497186645217147450561416690831216,-2855224590313892294204973499186428639858176858449228760064948122565193274880*theta_K - 16900297569257655753044043624295863862920267220351818505590008982274283714688,x^2 - x - 57,2,2,0,229,x^2 - 13779659*x + 2263054145689,2,False
80,-1419428809977203081815448536648160227283283997969196160*theta_K - 10030213426057359844269646211389943880169590999215797296,2531919211894961128200563966329224848959305793089021577885260081307901913579717120*theta_K + 17891485494348110622973868635471642449775735332262029220310211992163013710674109312,x^2 - x - 57,2,2,0,229,x^2 - 13779659*x + 2263054145689,2,False
81,34407986211004559000787918109738496374669262540785824418286703776547383525508462794880*theta_K - 277547650103872267590741082167034720530515145820141287319568836034038338721484739207216,302200979342638941367897144170448077328539798258337383017700526187306750305094586496308273591896954650078371669631186129419671040*theta_K - 2437665812851693328855152510698280239609873292396455046950380294877999497789704122176941792413331281146393058177979999630664105088,x^2 - x - 57,2,2,0,229,x^2 - 4532411635237379*x + 10218440140827310729,2,False
82,-34407986211004559000787918109738496374669262540785824418286703776547383525508462794880*theta_K - 243139663892867708589953164057296224155845883279355462901282132257490955195976276412336,-302200979342638941367897144170448077328539798258337383017700526187306750305094586496308273591896954650078371669631186129419671040*theta_K - 2135464833509054387487255366527832162281333494138117663932679768690692747484609535680633518821434326496314686508348813501244434048,x^2 - x - 57,2,2,0,229,x^2 - 4532411635237379*x + 10218440140827310729,2,False
83,-69155573760*theta_K - 1546246747648/3,28643654675435520*theta_K + 5763981112023694336/27,x^2 - x - 63,2,2,0,253,-32768,1,True
84,-19968*theta_K - 446464/3,-4444160*theta_K - 894301184/27,x^2 - x - 63,2,2,0,253,-32768,1,True
85,27*theta_K + 607/3,3998/27*theta_K + 30050/27,x^2 - x - 64,2,2,0,257,x^2 - 3664*x + 2924207,2,False
86,-38619*theta_K - 870736/3,6467974*theta_K + 1312490752/27,x^2 - x - 64,2,2,0,257,x^2 - 3664*x + 2924207,2,False
87,873586534392004608*theta_K - 332794870244573184,-468629872806873479163936768*theta_K - 3707809350788181020249161728,x^2 - x + 65,2,0,1,-259,4096,1,False
88,17828296620244992*theta_K - 6791732045807616,1366267850748902271614976*theta_K + 10809939798216271196061696,x^2 - x + 65,2,0,1,-259,4096,1,False
89,50483611278356117662520809737527811388550816938079686685558568910848*theta_K - 19231851915564235300007927519058213862305073119268452070688978632704,270760812589423139010138750376661975963741391243636879050115591612569818455330199110592876742807912448*theta_K + 2142265209712308686088057726194443142577232627757799453320731636425933502639167420314908623218575147008,x^2 - x + 65,2,0,1,-259,38477541376,1,False
90,1030277781190941176786138974235261456909200345675095646644052426752*theta_K - 392486773787025210204243418756290078822552512638131674912019972096,-789390124167414399446468659990268151497788312663664370408500267092040287041779006153332002165620736*theta_K - 6245671165342007831160518152170388170779103871013992575279100980833625372125852537361249630374854656,x^2 - x + 65,2,0,1,-259,38477541376,1,False
91,2176/3*theta_K - 13328/3,-641536/27*theta_K + 990080/27,x^2 + 65,2,0,1,-260,4913,1,False
92,2176/3*theta_K - 13328/3,641536/27*theta_K - 990080/27,x^2 + 65,2,0,1,-260,4913,1,False
93,1088/3,7168/27*theta_K,x^2 + 65,2,0,1,-260,4913,1,False
94,1088/3,-7168/27*theta_K,x^2 + 65,2,0,1,-260,4913,1,False
95,32896/3*theta_K - 201488/3,46832128/27*theta_K - 72275840/27,x^2 + 65,2,0,1,-260,16974593,1,False
96,16448/3,523264/27*theta_K,x^2 + 65,2,0,1,-260,16974593,1,False
97,32896/3*theta_K - 201488/3,-46832128/27*theta_K + 72275840/27,x^2 + 65,2,0,1,-260,16974593,1,False
98,16448/3,-523264/27*theta_K,x^2 + 65,2,0,1,-260,16974593,1,False
99,-6555*theta_K - 53585,1046224*theta_K + 8552542,x^2 - x - 75,2,2,0,301,-3375,1,True
100,6555*theta_K - 60140,-1046224*theta_K + 9598766,x^2 - x - 75,2,2,0,301,-3375,1,True
101,1782960*theta_K - 16358080,-3816625152*theta_K + 35016298368,x^2 - x - 75,2,2,0,301,16581375,1,True
102,-1782960*theta_K - 14575120,3816625152*theta_K + 31199673216,x^2 - x - 75,2,2,0,301,16581375,1,True
103,-299520*theta_K - 2662192,-262113280*theta_K - 2329713792,x^2 - 79,2,2,0,316,59319,1,True
104,-299520*theta_K - 2662192,262113280*theta_K + 2329713792,x^2 - 79,2,2,0,316,59319,1,True
105,688*theta_K - 6659,28784*theta_K - 278594,x^2 - x - 84,2,2,0,337,x^2 - 26784*x + 250047,2,True
106,-11008*theta_K - 95536,-1842176*theta_K - 15987840,x^2 - x - 84,2,2,0,337,x^2 - 26784*x + 250047,2,True
107,-2560*theta_K - 67072/3,-659456/3*theta_K - 51831808/27,x^2 - x - 85,2,2,0,341,-32768,1,True
108,2560*theta_K - 74752/3,659456/3*theta_K - 57766912/27,x^2 - x - 85,2,2,0,341,-32768,1,True
109,119680*theta_K - 3329600/3,-1640748032/27*theta_K + 1690630144/3,x^2 - 86,2,2,0,344,8000,1,True
110,-119680*theta_K - 3329600/3,1640748032/27*theta_K + 1690630144/3,x^2 - 86,2,2,0,344,8000,1,True
111,-309760*theta_K - 8215552/3,860426240/3*theta_K + 68461480960/27,x^2 - x - 87,2,2,0,349,x^2 - 3764781056*x + 31987842678784,2,True
112,-961538859865600*theta_K - 25502234159176192/3,-132816782791580298096640/3*theta_K - 10567824670630874727879680/27,x^2 - x - 87,2,2,0,349,x^2 - 3764781056*x + 31987842678784,2,True
113,34984752*theta_K + 993122240/3,-194164650496*theta_K - 49606271145344/27,x^2 - x - 99,2,2,0,397,1331,1,True
114,1115263308001243095241850880*theta_K - 15911089860817734825450405888,61906283440106448451466642737682347720704*theta_K - 478902320224759700377414596484930807529472,x^2 - x + 102,2,0,1,-407,4096,1,False
115,-17017567565936936878080*theta_K - 225766396374763362582528,-3689902033812191990105309649567744*theta_K - 24854900645294979329463717564776448,x^2 - x + 102,2,0,1,-407,4096,1,False
116,-983426635003983977444058437338323110200152252241481868609804602682900480*theta_K - 13046793357719520767424508602021753261988686546403659456890074395593146368,2131918878893331398734106038595860188343280820618020040411902656478844399774564377090530670095437247423709184*theta_K + 14360444107503212346530333600287709958252522876898362195480075741373939930519350181308861050832195390095228928,x^2 - x + 102,2,0,1,-407,38477541376,1,False
117,64449847951621093945773813749404343350077178002897755741212154441426565857280*theta_K - 919484497443127606959706409491501965127767739508007981907960070031019006230528,-35767663525671261836144223576427083085635904476165775710319219838719371925408217860353284606815891314473012501151744*theta_K + 276695936173179876067750480940511655200589463326831008310122674248110098910756348031811209170614613128304928795656192,x^2 - x + 102,2,0,1,-407,38477541376,1,False
118,3200/3*theta_K - 32320/3,480256/9*theta_K - 14551040/27,x^2 - 102,2,2,0,408,8000,1,True
119,-640/3*theta_K - 16960/3,-136192/9*theta_K - 2222080/27,x^2 - 102,2,2,0,408,8000,1,False
120,7067520*theta_K - 214135360/3,28778738688*theta_K - 7847577364480/27,x^2 - 102,2,2,0,408,8000,1,False
121,-3200/3*theta_K - 32320/3,-480256/9*theta_K - 14551040/27,x^2 - 102,2,2,0,408,8000,1,True
122,11142007614493031139244955207602001280000*theta_K - 114713989723535218767450104230626639480000,2050808524769072581716709861850719902028674331432354176000000*theta_K - 21114366061002442144794048744199287047771102673051161616000000,x^2 - 106,2,2,0,424,x^2 - 528470*x - 611960049,2,False
123,2785501903623257784811238801900500320000*theta_K - 28678497430883804691862526057656659870000,256351065596134072714588732731339987753584291429044272000000*theta_K - 2639295757625305268099256093024910880971387834131395202000000,x^2 - 106,2,2,0,424,x^2 - 528470*x - 611960049,2,True
124,-12599720/3*theta_K - 129722057/3,-405231465256/27*theta_K - 4172113287766/27,x^2 - 106,2,2,0,424,x^2 - 528470*x - 611960049,2,True
125,-50398880/3*theta_K - 518888228/3,-3241851722048/27*theta_K - 33376906302128/27,x^2 - 106,2,2,0,424,x^2 - 528470*x - 611960049,2,False
126,-512*theta_K - 5120,-20480*theta_K - 203776,x^2 - x - 109,2,2,0,437,-884736,1,True
127,-225280*theta_K - 2242048,188354560*theta_K + 1874555904,x^2 - x - 109,2,2,0,437,-884736,1,True
128,1023181520*theta_K + 10472728688,-11340879096320*theta_K - 116079060789888,x^2 - x - 115,2,2,0,461,x^2 + 3048867*x - 5079577959,2,True
129,-1840*theta_K - 18832,140800*theta_K + 1441152,x^2 - x - 115,2,2,0,461,x^2 + 3048867*x - 5079577959,2,True
130,-1013760*theta_K - 10470320,2248122368*theta_K + 23219066240,x^2 - x - 117,2,2,0,469,-3375,1,True
131,-240*theta_K - 2480,-8192*theta_K - 84608,x^2 - x - 117,2,2,0,469,-3375,1,True
132,-1077120*theta_K - 11124715,2002233984*theta_K + 20679480870,x^2 - x - 117,2,2,0,469,16581375,1,True
133,-255*theta_K - 2635,-7296*theta_K - 75354,x^2 - x - 117,2,2,0,469,16581375,1,True
134,1151164476661417598057193750000*theta_K + 47304053201997547219399443750000,-15307944652061855289777915435284931093750000000*theta_K + 74542571983325391264239889817095562656250000000,x^2 - x + 118,2,0,1,-471,-2197,1,False
135,-291858563439236112379910553600000000*theta_K + 843146961046682102430852710400000000,-123002900104934101147709427377462229073920000000000000*theta_K + 2753059062387628361360623089957156557946880000000000000,x^2 - x + 118,2,0,1,-471,-2197,1,False
136,1135561199055676800*theta_K - 37006056118997792320/3,-1922239342248846107618819072*theta_K + 563783328712754102875609487360/27,x^2 - 118,2,2,0,472,8000,1,True
137,3013760*theta_K - 98213440/3,24933078016/3*theta_K - 2437582981120/27,x^2 - 118,2,2,0,472,8000,1,True
138,-1092138924453397718286569472*theta_K - 11330156732727288608760287232,-68186154415049527757693836655506918735872*theta_K - 707382366131774014388245693259912289189888,x^2 - x - 118,2,2,0,473,x^2 + 16227*x + 2985984,2,False
139,-341324035865636446731888*theta_K - 3540991661944387370723808,1147813991289550102941220299168092544*theta_K + 11907745553375114627792922716262378240,x^2 - x - 118,2,2,0,473,x^2 + 16227*x + 2985984,2,False
140,-36075130706382029918208*theta_K - 374253864927622872551424,12944685064069458745358426816643072*theta_K + 134291807686262243037095083324735488,x^2 - x - 118,2,2,0,473,x^2 + 16227*x + 2985984,2,False
141,-8509068707207653872*theta_K - 148419505046277056736,-226592853914244046258889046144*theta_K - 2161785471061275713711286339840,x^2 - x - 118,2,2,0,473,x^2 + 16227*x + 2985984,2,False
142,-1240064000*theta_K - 12864773120,78384460320768*theta_K + 813182463292416,x^2 - x - 118,2,2,0,473,-884736000,1,True
143,-40960*theta_K - 424960,-14880768*theta_K - 154377216,x^2 - x - 118,2,2,0,473,-884736000,1,True
144,-45056/3*theta_K - 473600/3,87363584/27*theta_K + 102034432/3,x^2 - x - 121,2,2,0,485,32768,1,True
145,-8704/3*theta_K - 94720/3,7589888/27*theta_K + 80137216/27,x^2 - x - 121,2,2,0,485,32768,1,False
146,-8625920*theta_K - 91838000,-56613661696*theta_K - 602751412352,x^2 - x - 124,2,2,0,497,-3375,1,True
147,8625920*theta_K - 100463920,56613661696*theta_K - 659365074048,x^2 - x - 124,2,2,0,497,-3375,1,True
148,-9165040*theta_K - 97577875,-50421542448*theta_K - 536825476626,x^2 - x - 124,2,2,0,497,16581375,1,True
149,9165040*theta_K - 106742915,50421542448*theta_K - 587247019074,x^2 - x - 124,2,2,0,497,16581375,1,True
150,-7888400/3*theta_K - 85041008/3,5680924953088/27*theta_K + 20414430656896/9,x^2 - x - 127,2,2,0,509,x^2 - 2032225*x - 4826809,2,True
151,-7888400/3*theta_K - 85041008/3,-210381772288/27*theta_K - 756007892608/9,x^2 - x - 127,2,2,0,509,x^2 - 2032225*x - 4826809,2,True
152,640/3*theta_K - 7568/3,-154112/27*theta_K + 605056/9,x^2 - x - 127,2,2,0,509,x^2 - 794035*x - 4165509529,2,True
153,-40/3*theta_K - 433/3,2408/27*theta_K + 25954/27,x^2 - x - 127,2,2,0,509,x^2 - 794035*x - 4165509529,2,True
154,-88056400*theta_K - 2847879808/3,4532003156480/3*theta_K + 439715918331520/27,x^2 - x - 127,2,2,0,509,x^2 + 60405820618890471819*x + 502485832713739964226409,2,True
155,5503525*theta_K - 194503063/3,-70812549320/3*theta_K + 7507874167810/27,x^2 - x - 127,2,2,0,509,x^2 + 60405820618890471819*x + 502485832713739964226409,2,True
156,-79360*theta_K - 2587648/3,126300160/3*theta_K + 12354599936/27,x^2 - x - 129,2,2,0,517,-32768,1,True
157,-8871521710080*theta_K - 289268837959168/3,-49759651607245475840*theta_K - 14602370778390431970304/27,x^2 - x - 129,2,2,0,517,-32768,1,True
158,-10672/3*theta_K - 117856/3,10963456/27*theta_K + 121073792/27,x^2 - x - 133,2,2,0,533,-24389,1,True
159,-40832/3*theta_K - 451472/3,82120192/27*theta_K + 302304128/9,x^2 - x - 133,2,2,0,533,-24389,1,False
160,114531624749055360*theta_K - 3977398224919912000/3,63560232163511576174646272*theta_K - 19865597787763870930579326976/27,x^2 - 134,2,2,0,536,8000,1,True
161,1344640*theta_K - 46696000/3,-7670569984/3*theta_K + 799139403776/27,x^2 - 134,2,2,0,536,8000,1,True
162,-4249954832640*theta_K - 47845889576240,20108596691338800128*theta_K + 226382099272639212416,x^2 - x - 138,2,2,0,553,-3375,1,True
163,-6632818307560805702719128287851180800*theta_K - 74672109427027256914246475737412037680,-39205991667411086083695686565986190904207577720779209728*theta_K - 441380113887161685409443143177246126511798619371896168576,x^2 - x - 138,2,2,0,553,-3375,1,True
164,-4515577009680*theta_K - 50836257674755,17909218928223618864*theta_K + 201621557164694298558,x^2 - x - 138,2,2,0,553,16581375,1,True
165,-7047369451783356059139073805841879600*theta_K - 79339116266216460471386880471000290035,-34917836328787998543291470847831451274059873907568983664*theta_K - 393104163930753376067785299392234831424570645378095025138,x^2 - x - 138,2,2,0,553,16581375,1,True
166,-8580*theta_K - 106475,-1873916*theta_K - 23254686,x^2 - 154,2,2,0,616,-3375,1,True
167,-34320*theta_K - 425900,-14991328*theta_K - 186037488,x^2 - 154,2,2,0,616,-3375,1,False
168,8580*theta_K - 106475,1873916*theta_K - 23254686,x^2 - 154,2,2,0,616,-3375,1,True
169,34320*theta_K - 425900,14991328*theta_K - 186037488,x^2 - 154,2,2,0,616,-3375,1,False
170,3152671741662236100473340683759830984481744291625000000*theta_K - 39123627470103332027727150268453147327819781287968750000,10733436523705479335123986907410941251497220768950487430499463549199905437500000000*theta_K - 133198444359140152716448915853193265742976152001809117774335588150743871218750000000,x^2 - 154,2,2,0,616,16581375,1,True
171,-3152671741662236100473340683759830984481744291625000000*theta_K - 39123627470103332027727150268453147327819781287968750000,-10733436523705479335123986907410941251497220768950487430499463549199905437500000000*theta_K - 133198444359140152716448915853193265742976152001809117774335588150743871218750000000,x^2 - 154,2,2,0,616,16581375,1,True
172,12610686966648944401893362735039323937926977166500000000*theta_K - 156494509880413328110908601073812589311279125151875000000,85867492189643834680991895259287530011977766151603899443995708393599243500000000000*theta_K - 1065587554873121221731591326825546125943809216014472942194684705205950969750000000000,x^2 - 154,2,2,0,616,16581375,1,False
173,-12610686966648944401893362735039323937926977166500000000*theta_K - 156494509880413328110908601073812589311279125151875000000,-85867492189643834680991895259287530011977766151603899443995708393599243500000000000*theta_K - 1065587554873121221731591326825546125943809216014472942194684705205950969750000000000,x^2 - 154,2,2,0,616,16581375,1,False
174,32032*theta_K - 402636,10901440*theta_K - 137028976,x^2 - 158,2,2,0,632,59319,1,True
175,-32032*theta_K - 402636,-10901440*theta_K - 137028976,x^2 - 158,2,2,0,632,59319,1,True
176,854327363032734851220912*theta_K + 9535378529005978384682496,-110664701555184015034512952446418944*theta_K + 14235865046616248883984458814177783168,x^2 - x + 161,2,0,1,-643,x^2 - 5119*x + 7189057,2,False
177,-854327363032734851220912*theta_K + 10389705892038713235903408,110664701555184015034512952446418944*theta_K + 14125200345061064868949945861731364224,x^2 - x + 161,2,0,1,-643,x^2 - 5119*x + 7189057,2,False
